employee_id,base_salary,bonus,salary_band,compa_ratio,last_comp_review_date
115,129030,23124.98,Band E,0.86,2024-09-14
116,57645,6003.59,Band A,0.84,2025-11-28
117,197655,8698.92,Band B,0.82,2024-07-19
118,127988,13923.67,Band E,1.11,2024-06-06
119,56239,10351.61,Band C,1.22,2024-10-30
120,123692,9389.23,Band B,1.01,2025-08-09
121,168170,10086.63,Band A,1.02,2025-03-29
122,67194,3293.46,Band A,1.18,2026-03-08
123,189440,33800.96,Band E,1.16,2025-02-09
124,75128,9405.62,Band C,1.09,2024-10-06
125,76771,5256.96,Band A,1.03,2025-12-13
126,94527,3023.67,Band C,1.1,2025-03-03
127,181276,11520.22,Band C,0.96,2025-04-08
128,156823,23081.68,Band A,0.86,2026-03-25
129,134742,18605.35,Band B,0.85,2025-04-14
130,206490,12228.72,Band C,1.06,2025-02-07
131,113931,17309.67,Band E,1.11,2026-02-05
132,87412,11842.82,Band E,0.93,2024-09-12
133,167623,5314.37,Band B,1.02,2025-05-22
134,134559,21813.33,Band D,0.79,2024-11-12
135,208194,18186.51,Band B,1.0,2026-05-10
136,194225,14315.89,Band B,1.16,2026-02-01
137,164532,24941.12,Band A,1.25,2025-06-15
138,189777,25427.27,Band D,1.22,2025-07-26
139,200584,10962.08,Band D,0.94,2024-09-07
140,78761,14903.09,Band C,1.23,2025-12-22
141,150542,4787.39,Band C,1.12,2025-12-19
142,74629,10029.02,Band C,1.02,2025-07-16
143,71169,13268.0,Band B,0.91,2026-02-01
144,66044,10731.28,Band C,1.09,2025-11-13
145,66562,7071.36,Band C,0.79,2025-04-03
146,83860,3050.04,Band C,0.83,2026-01-02
147,111181,11110.66,Band E,1.08,2026-03-05
148,96359,12006.14,Band E,1.17,2025-08-26
149,116843,17969.49,Band C,0.8,2025-04-25
150,209322,16938.77,Band B,0.79,2024-11-16
151,70155,13848.91,Band B,1.1,2024-09-01
152,188781,15861.06,Band A,1.22,2024-11-21
153,203589,37326.18,Band D,1.01,2024-12-16
154,64127,11142.52,Band B,1.17,2025-01-22
155,171696,33583.72,Band E,1.1,2025-03-07
156,74569,3338.87,Band A,0.85,2025-03-08
157,55682,8024.09,Band D,1.14,2026-04-25
158,178462,7141.72,Band E,0.88,2025-01-17
159,146414,25313.46,Band C,1.21,2024-10-24
160,139230,27733.59,Band C,1.09,2024-08-22
161,129009,4641.63,Band C,1.1,2024-07-26
162,199164,13781.02,Band C,0.78,2025-09-17
163,86100,8319.42,Band E,1.11,2025-07-28
164,88401,17334.42,Band C,1.16,2024-11-08
165,177951,24272.39,Band A,1.24,2025-07-30
166,144185,12771.57,Band B,1.25,2025-06-27
167,180741,25958.66,Band C,1.09,2025-09-02
168,140909,17194.71,Band E,0.96,2025-04-07
169,109941,20796.84,Band C,0.92,2025-02-15
170,148700,22013.64,Band D,1.23,2024-10-24
171,182935,35022.72,Band C,1.18,2026-05-28
172,200634,7905.14,Band B,0.88,2025-10-24
173,158537,15438.93,Band D,0.93,2024-07-06
174,73143,2409.56,Band C,0.93,2026-04-04
175,62779,9869.65,Band E,0.76,2025-10-12
176,128642,11774.25,Band E,0.81,2025-05-21
177,131461,19052.01,Band E,0.92,2024-08-25
178,105055,3377.48,Band D,1.11,2024-10-20
179,163754,5566.18,Band A,0.93,2025-04-02
180,154159,16393.76,Band C,0.95,2025-05-19
181,110291,17563.51,Band A,1.14,2026-03-30
182,85816,13624.39,Band A,1.02,2025-10-03
183,138895,25451.32,Band C,1.04,2025-11-25
184,58886,4152.72,Band D,1.07,2025-09-26
185,186313,33520.54,Band E,0.76,2025-01-10
186,202650,34718.46,Band A,0.92,2024-09-06
187,58754,5197.46,Band E,1.24,2025-06-28
188,106995,8874.7,Band D,1.02,2026-05-28
189,208424,22564.85,Band E,1.07,2026-05-09
190,94159,7771.56,Band B,1.07,2025-10-20
191,73450,9474.81,Band E,0.79,2026-03-19
192,145053,12183.54,Band E,1.22,2025-12-27
193,97747,18739.1,Band B,0.8,2025-04-16
194,157043,19697.26,Band A,1.0,2026-04-11
195,192468,29127.16,Band B,1.14,2025-09-17
196,149152,24338.59,Band B,0.83,2024-08-25
197,167212,20730.76,Band A,1.14,2024-11-25
198,89038,5128.25,Band C,0.9,2025-08-23
199,106181,11737.44,Band A,0.94,2026-01-15
200,65642,10269.67,Band D,1.03,2024-06-18
201,90400,16615.91,Band B,1.01,2026-05-30
202,78136,7412.96,Band E,1.02,2025-06-09
203,105220,11413.19,Band A,1.18,2025-11-01
204,127045,20180.18,Band E,1.07,2025-03-12
205,81932,4944.45,Band C,1.22,2025-01-14
206,62308,10739.2,Band E,0.96,2024-12-27
207,104794,13274.45,Band A,0.99,2024-07-21
208,71368,4508.06,Band C,0.97,2026-01-29
209,126560,12360.52,Band E,0.76,2025-12-13
210,79453,14845.07,Band A,1.01,2025-08-08
211,122508,7674.97,Band B,0.95,2026-04-09
212,147551,8467.48,Band D,1.12,2025-04-10
213,160219,21533.47,Band A,0.86,2025-07-28
214,191768,17008.11,Band E,1.21,2025-09-04
215,186926,28494.85,Band E,0.96,2025-03-05
216,200100,13836.99,Band C,0.75,2026-01-27
217,90633,9672.78,Band E,1.16,2025-09-24
218,201910,30930.25,Band B,0.78,2025-03-31
219,99634,5100.83,Band D,0.78,2026-03-25
220,95011,14349.67,Band B,1.15,2024-08-24
221,91003,4023.14,Band A,1.08,2025-05-28
222,64143,11058.19,Band C,1.21,2025-08-19
223,193050,21634.96,Band B,1.07,2025-03-01
224,150046,9162.74,Band E,0.85,2024-07-13
225,208288,10240.64,Band A,0.84,2024-10-19
226,164409,28878.04,Band A,1.13,2025-08-16
227,168330,17553.31,Band D,0.87,2026-01-16
228,115101,9950.02,Band A,0.83,2024-10-10
229,202371,26908.05,Band C,0.76,2025-12-14
230,146147,26258.19,Band B,1.21,2025-10-31
231,66966,2328.29,Band C,1.23,2025-12-12
232,60773,8037.09,Band C,1.08,2025-09-03
233,57271,9114.26,Band D,1.06,2025-06-24
234,135458,21391.37,Band D,1.1,2025-04-09
235,198244,27507.22,Band C,1.08,2025-12-25
236,61498,6513.95,Band E,1.1,2025-02-04
237,188117,25030.81,Band C,0.9,2026-05-02
238,113920,3905.19,Band D,0.94,2024-06-10
239,204925,11439.93,Band D,1.24,2024-09-16
240,182275,17261.37,Band E,1.19,2024-11-18
241,118782,13414.51,Band C,0.95,2025-11-24
242,200024,19312.84,Band B,1.24,2024-10-10
243,206612,15736.88,Band A,1.08,2025-10-08
244,62100,6970.32,Band C,1.1,2024-07-29
245,120942,19509.74,Band A,0.91,2025-08-11
246,172399,5954.02,Band B,1.18,2025-11-09
247,73683,8660.05,Band D,1.17,2026-02-10
248,111202,19922.32,Band A,1.21,2024-11-04
249,196747,14432.28,Band B,1.03,2024-06-16
250,70075,9014.49,Band C,1.15,2024-06-27
251,130423,16503.22,Band E,1.16,2026-01-25
252,160242,29659.8,Band B,0.98,2024-08-25
253,163276,17091.33,Band D,0.87,2026-02-01
254,63710,6871.15,Band E,1.08,2024-12-10
255,184456,28837.54,Band A,0.87,2025-03-27
256,176170,25541.08,Band C,0.83,2025-09-30
257,128028,9443.18,Band B,0.78,2024-07-25
258,114267,18758.21,Band A,0.78,2025-06-02
259,193008,25028.02,Band E,0.82,2026-05-26
260,61975,7872.76,Band A,0.87,2025-08-12
261,193418,36729.49,Band C,0.79,2026-04-02
262,121205,19036.98,Band D,0.86,2025-12-23
263,117267,16350.91,Band C,0.86,2025-07-10
264,175767,29657.84,Band E,0.83,2024-06-03
265,67158,5936.55,Band E,1.12,2025-03-25
266,92230,11373.19,Band B,0.8,2025-12-14
267,171532,19525.43,Band B,1.19,2026-01-14
268,160020,8680.1,Band A,0.93,2024-07-31
269,125253,15206.63,Band E,0.99,2025-07-26
270,130396,16408.48,Band C,0.88,2024-08-12
271,164868,6830.44,Band E,1.22,2024-08-16
272,142071,22334.91,Band C,1.12,2024-11-13
273,174731,19567.93,Band C,0.94,2026-03-28
274,65630,5034.54,Band C,0.89,2025-03-13
275,132287,18112.53,Band D,0.95,2025-08-31
276,141050,10163.78,Band E,1.25,2025-10-06
277,111230,17296.59,Band A,1.15,2026-02-24
278,145687,16098.32,Band E,1.02,2025-12-07
279,96076,6291.02,Band D,0.94,2024-11-25
280,90810,11408.26,Band C,1.08,2024-09-19
281,70873,9613.38,Band A,1.22,2024-11-14
282,172338,16217.72,Band C,1.01,2024-09-07
283,203289,8603.98,Band B,0.78,2025-12-23
284,175523,20432.73,Band A,1.18,2025-09-01
285,143299,4531.43,Band D,0.9,2026-04-06
286,154888,18080.18,Band B,1.22,2025-03-06
287,115333,7869.07,Band B,0.76,2026-06-01
288,149062,22307.92,Band D,0.81,2025-08-02
289,194013,29718.1,Band E,1.05,2024-10-12
290,132160,23524.31,Band C,1.1,2025-12-04
291,97728,11687.36,Band D,1.21,2025-08-13
292,93665,8100.35,Band C,1.17,2024-07-31
293,69494,11658.82,Band E,0.89,2025-04-09
294,125562,7851.33,Band B,0.84,2025-05-16
295,191317,36780.26,Band D,1.15,2025-02-27
296,177604,22967.27,Band D,0.88,2025-11-09
297,112983,17495.76,Band D,1.12,2025-01-05
298,72158,13099.23,Band E,1.17,2024-07-20
299,76841,2563.22,Band D,1.04,2025-05-19
300,77504,12416.02,Band C,0.87,2026-05-29
301,158739,17717.56,Band C,0.91,2025-03-24
302,144020,25573.41,Band B,1.15,2025-02-10
303,65414,8227.86,Band A,0.92,2024-10-08
304,150931,27843.4,Band A,0.79,2025-03-24
305,154459,18031.19,Band B,1.23,2025-12-17
306,157806,10207.57,Band D,1.22,2026-04-29
307,207806,15747.98,Band A,1.09,2025-08-23
308,137559,11560.2,Band D,1.07,2025-03-06
309,183199,33479.57,Band C,0.76,2025-10-31
310,123134,13665.91,Band E,1.04,2024-10-05
311,131366,5945.03,Band B,1.11,2024-11-30
312,65899,2296.5,Band E,0.96,2024-08-17
313,91622,6466.41,Band B,0.94,2025-06-19
314,150358,7946.12,Band D,0.95,2025-10-04
315,92163,10458.11,Band D,0.76,2025-04-24
316,167377,25676.97,Band E,0.94,2025-10-14
317,150685,16102.22,Band A,0.99,2024-07-13
318,92214,8522.47,Band D,0.77,2025-09-21
319,177414,31139.56,Band A,1.07,2025-05-22
320,193100,9371.8,Band C,0.82,2025-06-04
321,111212,13013.41,Band D,0.81,2025-07-15
322,121013,11023.79,Band A,0.98,2024-11-12
323,101561,15853.54,Band E,1.18,2025-01-19
324,118542,16480.45,Band D,0.94,2024-09-08
325,190986,7083.76,Band D,1.08,2025-04-24
326,192517,15254.64,Band B,1.06,2026-02-21
327,97701,12658.42,Band C,0.91,2025-09-28
328,200154,8663.65,Band C,1.09,2024-08-26
329,82308,8251.52,Band C,1.12,2026-02-24
330,59501,3237.36,Band E,1.03,2024-06-03
331,118964,8055.04,Band C,1.23,2024-08-23
332,199519,33353.5,Band B,0.94,2024-06-19
333,107426,8769.05,Band C,1.19,2024-08-15
334,157035,26960.41,Band B,0.87,2025-10-01
335,94172,4583.62,Band B,0.99,2024-09-09
336,70549,10966.54,Band A,0.94,2026-03-24
337,173002,28715.14,Band A,1.08,2025-10-28
338,92613,16589.36,Band B,1.2,2025-03-03
339,84991,13570.63,Band A,0.84,2025-12-10
340,123316,13849.46,Band D,0.96,2024-12-23
341,188726,15364.95,Band D,0.77,2025-04-09
342,100857,11122.49,Band D,1.0,2024-08-13
343,71480,4961.97,Band B,0.97,2024-07-11
344,105190,5390.57,Band D,1.22,2025-05-18
345,109441,6690.83,Band D,1.03,2025-10-11
346,89509,6177.29,Band E,0.93,2024-11-05
347,197619,10277.26,Band E,1.02,2025-11-04
348,105863,16962.71,Band E,1.0,2024-06-08
349,124909,12466.3,Band A,0.99,2025-12-28
350,84131,4544.97,Band C,0.78,2025-09-06
351,57708,10036.89,Band E,0.79,2026-02-27
352,111822,6907.18,Band B,0.83,2025-05-08
353,92732,9791.04,Band A,1.07,2025-04-20
354,142377,16647.31,Band A,1.05,2025-11-11
355,152924,20490.93,Band A,1.0,2025-11-08
356,67348,10533.58,Band B,1.15,2025-07-22
357,66907,2487.23,Band B,0.89,2025-12-17
358,106732,15533.12,Band A,1.21,2025-02-17
359,173641,11447.5,Band C,0.8,2025-11-17
360,70364,2117.37,Band A,0.96,2025-02-04
361,166264,6717.76,Band B,0.8,2025-04-02
362,124666,22822.3,Band A,1.23,2024-07-07
363,160345,28045.13,Band E,1.04,2025-06-10
364,197238,13663.93,Band C,0.76,2025-11-08
365,89344,5075.4,Band C,0.97,2026-02-21
366,72861,10890.77,Band C,0.98,2024-06-19
367,79586,9161.47,Band C,1.07,2025-06-22
368,166368,27329.87,Band C,1.23,2026-02-27
369,104266,8583.64,Band C,1.02,2024-07-05
370,188229,34822.22,Band E,1.04,2025-08-19
371,208849,41578.79,Band B,0.98,2024-06-03
372,64850,2937.54,Band E,0.85,2025-03-30
373,190106,29302.36,Band A,0.92,2025-10-11
374,141139,15447.1,Band C,1.22,2025-03-22
375,177986,13719.97,Band D,1.1,2024-11-29
376,74985,11886.75,Band E,0.77,2024-06-06
377,112587,10996.88,Band D,1.12,2025-05-13
378,131668,25276.07,Band A,0.93,2024-07-04
379,126754,18385.65,Band A,1.06,2024-08-25
380,136108,22571.52,Band D,1.11,2026-05-26
381,188481,11543.19,Band B,0.99,2024-06-10
382,128617,14386.08,Band C,0.94,2026-01-01
383,72587,14024.38,Band D,0.91,2025-06-30
384,142097,6022.78,Band B,1.15,2025-01-06
385,150360,23706.58,Band A,0.9,2025-07-28
386,83523,4760.02,Band D,0.94,2025-01-27
387,145464,12902.21,Band D,0.84,2025-05-29
388,62969,5897.56,Band D,0.81,2025-08-10
389,101172,12133.36,Band B,0.98,2025-11-19
390,157588,19769.21,Band E,0.8,2025-08-04
391,73759,5988.11,Band A,0.97,2025-01-29
392,142400,6955.4,Band A,1.06,2024-12-24
393,58970,3628.99,Band C,1.07,2025-03-07
394,202174,26095.87,Band C,0.84,2025-07-28
395,142115,6197.14,Band A,1.12,2024-09-10
396,108035,19855.57,Band E,0.91,2024-10-05
397,172914,21023.82,Band C,0.97,2024-10-30
398,134210,6875.84,Band C,1.22,2025-08-22
399,57529,9940.61,Band D,0.98,2026-04-10
400,112301,5948.59,Band A,0.84,2025-11-13
401,143196,17514.69,Band A,0.97,2025-12-07
402,168018,33474.5,Band A,0.84,2025-11-03
403,131778,6036.45,Band E,1.19,2025-07-14
404,68276,4180.13,Band C,1.1,2024-08-07
405,176567,23244.04,Band E,1.07,2025-03-12
406,57927,7676.44,Band E,0.94,2025-03-17
407,135233,26749.02,Band E,0.87,2025-08-25
408,124342,8615.44,Band C,1.17,2025-07-26
409,158795,20206.21,Band A,0.94,2025-01-08
410,101577,17129.71,Band B,1.12,2024-10-29
411,111630,5117.34,Band B,0.85,2024-07-17
412,204005,14274.34,Band E,1.2,2025-02-07
413,182361,21364.64,Band E,0.98,2025-08-28
414,60466,7249.91,Band B,1.16,2024-12-10
415,170088,13544.88,Band C,0.97,2026-05-09
416,159040,25899.99,Band A,1.17,2024-09-14
417,195127,24889.12,Band B,1.06,2024-06-14
418,134557,5601.95,Band A,1.21,2025-10-02
419,131400,7757.58,Band B,1.02,2026-04-29
420,173493,7158.96,Band A,0.91,2026-04-09
421,104022,16602.65,Band E,1.13,2025-04-27
422,119174,11549.96,Band B,1.16,2024-06-20
423,136506,9903.89,Band D,0.89,2024-07-11
424,59317,2151.19,Band C,1.11,2026-04-10
425,166968,10596.14,Band C,1.09,2025-08-14
426,110758,12828.39,Band E,1.2,2024-10-30
427,150468,26815.52,Band D,0.83,2025-08-20
428,88508,15552.28,Band B,1.17,2025-04-17
429,156913,26504.49,Band A,0.82,2025-01-19
430,174444,33227.67,Band C,0.77,2025-04-03
431,93101,11493.1,Band D,1.04,2024-10-10
432,189978,21317.25,Band B,0.95,2024-10-12
433,99423,6833.26,Band B,0.82,2025-02-17
434,154631,15068.38,Band A,1.14,2025-06-10
435,95727,4158.44,Band A,1.08,2026-01-23
436,137568,4475.97,Band E,0.79,2025-03-24
437,92766,8371.04,Band E,0.94,2025-09-01
438,159725,21441.46,Band B,0.82,2024-08-23
439,63378,7527.45,Band D,0.92,2025-12-09
440,203432,30082.85,Band A,0.83,2024-08-17
441,69866,7597.53,Band A,0.79,2026-02-05
442,79143,7177.86,Band B,1.12,2025-12-17
443,65939,5952.91,Band B,1.12,2026-03-10
444,189739,13988.98,Band D,0.91,2025-02-23
445,75260,5495.64,Band A,0.86,2026-01-18
446,173250,14063.75,Band B,0.99,2025-06-11
447,110140,10720.37,Band C,0.95,2025-10-03
448,184284,9287.77,Band E,0.83,2025-07-20
449,165894,11903.11,Band C,0.91,2025-04-03
450,148457,28925.59,Band D,0.95,2025-04-21
451,112970,14946.64,Band D,1.1,2025-08-18
452,93764,8028.61,Band D,1.1,2026-02-08
453,138635,14751.21,Band E,1.24,2025-09-17
454,149096,14265.91,Band A,1.11,2026-05-05
455,188043,24377.3,Band D,1.14,2025-05-10
456,190642,15466.1,Band C,0.98,2025-11-15
457,179331,19631.58,Band D,0.78,2025-08-15
458,116279,10537.5,Band E,0.88,2026-02-20
459,69423,3072.34,Band B,1.01,2026-04-15
460,145445,12027.15,Band D,0.82,2026-01-08
461,120573,23215.63,Band B,0.83,2026-05-01
462,80872,6979.03,Band B,0.96,2024-08-18
463,163999,6588.3,Band E,1.11,2025-08-11
464,108085,9695.88,Band D,0.91,2026-04-17
465,118889,7987.01,Band A,1.02,2024-12-20
466,77980,6354.0,Band E,0.86,2025-07-27
467,99453,17381.76,Band B,0.93,2024-11-09
468,163891,16886.43,Band B,1.22,2026-02-17
469,113675,19613.71,Band C,0.9,2025-02-27
470,171419,5711.51,Band B,0.91,2025-08-08
471,144948,23691.29,Band D,0.78,2025-04-19
472,71663,9750.41,Band B,0.89,2026-03-08
473,83462,12416.11,Band B,1.12,2024-11-25
474,136971,13691.87,Band A,1.19,2024-12-29
475,186152,19780.81,Band C,0.77,2025-05-02
476,115811,5637.84,Band B,0.99,2026-03-20
477,106777,19346.73,Band E,0.92,2025-01-11
478,168120,12206.5,Band D,1.08,2026-03-31
479,135087,16051.84,Band C,1.19,2026-04-12
480,185362,31771.38,Band D,1.19,2024-12-20
481,93851,11425.52,Band B,1.24,2026-06-02
482,126306,10434.78,Band C,0.96,2026-02-11
483,108741,13545.85,Band D,0.91,2026-01-12
484,202354,6658.28,Band A,0.77,2025-04-02
485,118819,5115.72,Band D,1.07,2025-01-25
486,119394,10824.75,Band E,1.14,2025-11-24
487,112086,6654.27,Band B,0.8,2024-10-14
488,75983,8257.96,Band A,0.76,2025-03-25
489,145177,18445.55,Band B,1.18,2025-11-14
490,181923,15576.63,Band A,1.07,2026-02-09
491,208349,26483.3,Band C,0.78,2024-10-06
492,160673,27564.68,Band A,1.03,2024-09-30
493,93839,3715.07,Band D,0.83,2025-12-15
494,102413,4078.23,Band D,0.87,2024-12-09
495,125614,4321.24,Band D,1.19,2024-10-14
496,196442,19832.68,Band D,1.12,2024-06-15
497,147308,21337.47,Band E,1.1,2026-03-09
498,98762,15634.97,Band B,1.16,2026-02-14
499,136423,27183.39,Band B,0.8,2024-09-10
500,77767,3887.66,Band D,1.14,2025-09-14
501,126554,21276.0,Band A,1.1,2026-02-22
502,118130,9744.87,Band E,0.81,2025-07-02
503,61689,3763.62,Band C,1.04,2025-08-07
504,91999,12930.01,Band D,1.09,2024-09-01
505,72673,6529.95,Band B,1.05,2024-07-06
506,60583,11277.93,Band B,0.97,2024-07-02
507,156621,16040.69,Band B,1.07,2025-03-02
508,193353,13272.69,Band D,0.89,2024-07-11
509,175168,13712.85,Band E,1.06,2024-09-23
510,164996,24095.89,Band C,1.18,2024-12-06
511,203995,38520.36,Band A,1.02,2025-08-03
512,104098,11704.66,Band C,0.77,2026-03-03
513,81984,3174.47,Band B,0.98,2025-12-28
514,173972,31898.46,Band C,0.78,2024-12-12
515,114362,15150.88,Band E,1.15,2025-08-25
516,105636,4540.62,Band D,1.13,2024-12-23
517,66379,4860.88,Band B,0.78,2024-10-08
518,106550,3226.48,Band C,1.11,2025-05-16
519,117238,20965.74,Band D,0.93,2026-05-05
520,206629,33317.91,Band D,1.17,2025-01-26
521,159730,20674.88,Band C,1.21,2026-05-03
522,157475,17082.22,Band E,0.85,2025-05-16
523,138334,24994.95,Band A,0.9,2025-02-11
524,66624,2237.18,Band A,1.18,2025-06-09
525,69728,10061.7,Band E,1.02,2026-05-29
526,177935,8416.24,Band A,1.11,2026-03-08
527,145594,25938.72,Band B,1.12,2024-08-22
528,59074,6439.55,Band C,1.13,2025-09-02
529,183519,23555.7,Band B,1.06,2024-07-12
530,90545,16301.07,Band E,0.96,2026-04-22
531,201215,27464.07,Band D,1.06,2026-04-18
532,137535,20651.61,Band C,0.89,2026-02-12
533,75650,14047.6,Band A,0.77,2026-01-25
534,77863,13172.8,Band C,0.86,2026-01-27
535,165452,30444.53,Band D,0.98,2025-04-09
536,199050,12686.27,Band D,1.05,2025-06-03
537,150443,11760.92,Band A,1.06,2024-10-03
538,128098,10200.18,Band A,1.0,2026-03-18
539,198649,17180.95,Band E,0.86,2024-10-31
540,164680,11192.57,Band C,1.2,2025-07-04
541,194925,27249.89,Band B,1.0,2026-03-17
542,202137,13771.24,Band B,1.15,2026-04-01
543,152887,14169.14,Band C,1.02,2025-04-07
544,56150,10060.85,Band D,1.1,2025-01-30
545,147638,10346.55,Band A,1.02,2025-12-13
546,184566,7681.94,Band D,1.1,2025-05-15
547,168089,14025.8,Band E,0.89,2024-12-09
548,63796,5100.02,Band E,0.81,2024-10-30
549,56284,3773.03,Band D,1.12,2025-12-01
550,82802,9887.17,Band E,0.89,2025-09-12
551,142689,12825.19,Band B,0.95,2024-09-13
552,56289,3116.0,Band C,1.05,2025-10-22
553,135354,18911.64,Band C,1.11,2025-01-27
554,172058,30701.95,Band E,1.0,2026-01-27
555,125970,14134.22,Band D,0.87,2024-08-02
556,81894,15451.72,Band A,0.84,2024-06-06
557,108246,19252.71,Band A,0.95,2025-10-15
