employee_id,review_cycle,performance_rating,potential_rating,review_submitted_date,promotion_recommendation
70,2024-H1,3,High,2025-02-04,No
70,2024-H2,5,Medium,2024-12-14,No
70,2025-H1,2,Medium,2024-10-31,Yes
70,2025-H2,4,Medium,2025-03-15,No
71,2024-H1,4,Medium,2025-10-21,No
71,2024-H2,4,Low,2025-02-05,No
71,2025-H1,2,Medium,2025-03-13,No
71,2025-H2,3,Medium,2026-01-27,No
72,2024-H1,4,Medium,2024-06-06,No
72,2024-H2,4,Medium,2025-02-09,No
72,2025-H1,4,Low,2025-06-27,Yes
72,2025-H2,1,Medium,2024-06-26,No
73,2024-H1,3,Medium,2024-11-17,No
73,2024-H2,3,High,2026-01-03,No
73,2025-H1,1,Medium,2024-07-24,Yes
73,2025-H2,2,Medium,2024-10-31,No
74,2024-H1,3,High,2025-04-26,Yes
74,2024-H2,3,Medium,2025-10-02,No
74,2025-H1,4,High,2024-11-12,Yes
74,2025-H2,3,Medium,2025-03-26,No
75,2024-H1,3,High,2024-11-09,No
75,2024-H2,2,Medium,2025-03-17,No
75,2025-H1,3,High,2025-12-12,No
75,2025-H2,3,Medium,2025-01-10,Yes
76,2024-H1,3,Medium,2025-04-03,No
76,2024-H2,3,High,2024-06-23,No
76,2025-H1,4,Medium,2025-11-07,No
76,2025-H2,3,Medium,2026-03-11,No
77,2024-H1,3,High,2024-10-08,No
77,2024-H2,3,Medium,2025-06-11,No
77,2025-H1,4,Medium,2026-01-22,No
77,2025-H2,3,High,2025-09-30,No
78,2024-H1,2,Medium,2025-03-26,No
78,2024-H2,4,High,2024-10-20,No
78,2025-H1,2,Medium,2025-07-25,No
78,2025-H2,4,High,2026-01-24,No
79,2024-H1,3,Medium,2026-02-06,No
79,2024-H2,4,Medium,2026-03-16,No
79,2025-H1,4,Medium,2025-03-12,No
79,2025-H2,4,High,2025-05-16,No
80,2024-H1,3,High,2024-12-05,Yes
80,2024-H2,4,Medium,2026-03-29,No
80,2025-H1,3,Medium,2024-06-16,Yes
80,2025-H2,2,High,2026-03-04,No
81,2024-H1,3,High,2025-12-27,No
81,2024-H2,4,Medium,2025-11-03,No
81,2025-H1,3,Medium,2025-05-26,No
81,2025-H2,5,Medium,2024-06-10,No
82,2024-H1,3,High,2025-10-28,No
82,2024-H2,1,Medium,2025-11-18,No
82,2025-H1,3,High,2025-04-22,Yes
82,2025-H2,4,High,2026-04-02,No
83,2024-H1,4,Medium,2025-06-06,No
83,2024-H2,4,Medium,2026-01-18,Yes
83,2025-H1,4,High,2025-10-31,No
83,2025-H2,3,Medium,2025-12-05,Yes
84,2024-H1,5,Medium,2025-07-30,No
84,2024-H2,3,High,2025-11-07,No
84,2025-H1,5,Medium,2025-10-14,No
84,2025-H2,4,Medium,2025-04-06,No
85,2024-H1,4,High,2025-05-02,No
85,2024-H2,5,Medium,2025-09-30,No
85,2025-H1,3,Medium,2025-08-02,No
85,2025-H2,4,Medium,2025-11-29,No
86,2024-H1,4,Medium,2026-05-29,No
86,2024-H2,4,High,2025-03-20,No
86,2025-H1,3,Medium,2025-04-28,No
86,2025-H2,3,Low,2025-11-12,No
87,2024-H1,4,Medium,2025-08-10,No
87,2024-H2,3,Medium,2024-07-02,No
87,2025-H1,3,High,2024-07-01,No
87,2025-H2,3,Medium,2024-06-30,No
88,2024-H1,4,Medium,2025-10-03,No
88,2024-H2,3,Medium,2025-07-27,No
88,2025-H1,4,Medium,2025-11-06,No
88,2025-H2,3,High,2025-06-30,No
89,2024-H1,4,Medium,2025-01-13,No
89,2024-H2,5,Medium,2025-07-11,No
89,2025-H1,5,Medium,2025-12-23,No
89,2025-H2,3,Medium,2024-09-30,No
90,2024-H1,4,Medium,2026-04-11,No
90,2024-H2,3,High,2025-07-14,No
90,2025-H1,3,High,2024-06-29,No
90,2025-H2,4,Medium,2025-11-30,No
91,2024-H1,3,Medium,2026-03-27,No
91,2024-H2,5,Medium,2024-10-30,No
91,2025-H1,3,High,2024-07-16,No
91,2025-H2,4,Medium,2025-05-05,No
92,2024-H1,3,High,2026-02-21,No
92,2024-H2,1,Medium,2024-12-03,No
92,2025-H1,3,High,2025-11-23,No
92,2025-H2,4,Medium,2024-08-30,No
93,2024-H1,5,Medium,2025-11-06,No
93,2024-H2,4,Medium,2025-08-20,No
93,2025-H1,3,Low,2025-03-03,No
93,2025-H2,2,Medium,2025-02-25,No
94,2024-H1,2,Medium,2025-05-18,No
94,2024-H2,3,Medium,2025-05-12,No
94,2025-H1,1,Medium,2026-04-20,Yes
94,2025-H2,4,Medium,2026-02-13,No
95,2024-H1,4,Low,2025-12-25,No
95,2024-H2,4,Low,2025-05-24,No
95,2025-H1,3,Medium,2025-07-06,No
95,2025-H2,4,High,2025-01-11,No
96,2024-H1,4,Medium,2026-05-16,No
96,2024-H2,4,Medium,2025-08-29,Yes
96,2025-H1,3,Low,2024-08-25,No
96,2025-H2,3,High,2024-08-30,No
97,2024-H1,3,Medium,2026-04-10,No
97,2024-H2,1,Medium,2024-11-17,No
97,2025-H1,4,Medium,2024-07-24,No
97,2025-H2,3,High,2025-04-15,Yes
98,2024-H1,4,High,2025-10-09,No
98,2024-H2,3,Medium,2024-12-19,No
98,2025-H1,4,Medium,2025-08-20,No
98,2025-H2,4,Low,2024-09-30,No
99,2024-H1,3,Medium,2025-01-24,No
99,2024-H2,2,Medium,2025-11-26,No
99,2025-H1,5,Medium,2026-05-07,No
99,2025-H2,4,Medium,2025-08-02,Yes
100,2024-H1,3,High,2025-06-15,No
100,2024-H2,5,High,2026-05-16,No
100,2025-H1,4,High,2024-07-08,No
100,2025-H2,4,Medium,2025-04-17,No
101,2024-H1,3,Medium,2025-02-20,No
101,2024-H2,2,Medium,2026-03-06,No
101,2025-H1,2,Medium,2024-11-22,No
101,2025-H2,3,Medium,2024-12-18,No
102,2024-H1,3,Low,2024-11-14,No
102,2024-H2,4,Medium,2026-03-30,No
102,2025-H1,3,Medium,2026-04-18,Yes
102,2025-H2,3,Medium,2025-10-04,No
103,2024-H1,3,High,2026-04-23,No
103,2024-H2,3,Medium,2025-01-26,Yes
103,2025-H1,3,Medium,2025-12-08,No
103,2025-H2,3,High,2025-02-03,No
104,2024-H1,4,Medium,2024-09-24,Yes
104,2024-H2,4,Medium,2024-09-15,No
104,2025-H1,3,Low,2024-12-06,No
104,2025-H2,2,Medium,2026-04-26,No
105,2024-H1,3,Medium,2025-10-09,No
105,2024-H2,3,High,2025-06-12,No
105,2025-H1,2,Low,2025-08-06,No
105,2025-H2,3,High,2025-04-01,No
106,2024-H1,3,High,2024-09-16,No
106,2024-H2,3,Low,2024-11-16,No
106,2025-H1,2,Medium,2024-11-23,No
106,2025-H2,3,High,2024-06-06,No
107,2024-H1,3,Medium,2025-01-06,No
107,2024-H2,4,High,2026-01-21,No
107,2025-H1,3,Medium,2024-07-07,No
107,2025-H2,5,Medium,2025-08-07,Yes
108,2024-H1,4,Low,2025-01-29,No
108,2024-H2,4,Medium,2026-05-28,Yes
108,2025-H1,1,High,2025-04-09,No
108,2025-H2,4,Medium,2024-10-14,No
109,2024-H1,4,High,2026-05-07,No
109,2024-H2,3,High,2025-01-25,No
109,2025-H1,5,Medium,2025-09-28,No
109,2025-H2,1,Low,2026-03-16,No
110,2024-H1,2,Medium,2025-07-24,Yes
110,2024-H2,3,Low,2024-09-06,Yes
110,2025-H1,3,Medium,2025-09-13,No
110,2025-H2,3,Medium,2026-04-05,No
111,2024-H1,3,Medium,2026-03-31,No
111,2024-H2,4,Low,2025-07-31,No
111,2025-H1,3,High,2025-02-10,No
111,2025-H2,4,Low,2026-05-12,No
112,2024-H1,5,Low,2025-04-17,No
112,2024-H2,4,High,2026-01-09,No
112,2025-H1,4,Medium,2025-06-02,No
112,2025-H2,3,Medium,2025-01-16,No
113,2024-H1,1,High,2026-04-06,No
113,2024-H2,2,High,2025-10-18,Yes
113,2025-H1,3,Medium,2025-05-09,No
113,2025-H2,2,Low,2025-10-24,No
114,2024-H1,4,Medium,2025-08-27,No
114,2024-H2,2,High,2024-11-21,No
114,2025-H1,4,Medium,2026-05-02,No
114,2025-H2,2,Medium,2025-11-03,No
115,2024-H1,3,Medium,2025-03-29,No
115,2024-H2,3,Medium,2026-02-28,No
115,2025-H1,2,Low,2026-01-06,No
115,2025-H2,5,Medium,2026-05-18,No
116,2024-H1,5,Medium,2025-03-20,No
116,2024-H2,3,Medium,2024-06-09,No
116,2025-H1,3,Medium,2025-10-06,No
116,2025-H2,5,High,2025-03-18,No
117,2024-H1,4,Low,2024-10-19,No
117,2024-H2,2,High,2024-08-28,No
117,2025-H1,3,Medium,2024-10-31,No
117,2025-H2,3,Low,2024-12-17,No
118,2024-H1,3,High,2024-06-20,No
118,2024-H2,3,Medium,2026-02-08,No
118,2025-H1,3,Medium,2026-05-17,No
118,2025-H2,5,Medium,2024-09-30,No
119,2024-H1,3,Medium,2024-11-01,Yes
119,2024-H2,2,Medium,2025-11-09,No
119,2025-H1,4,Medium,2025-01-20,No
119,2025-H2,3,Low,2024-06-07,No
120,2024-H1,3,Medium,2025-09-06,No
120,2024-H2,5,Medium,2025-04-17,Yes
120,2025-H1,5,Medium,2026-01-23,Yes
120,2025-H2,4,Medium,2026-05-19,No
121,2024-H1,4,Medium,2026-04-06,No
121,2024-H2,4,Low,2024-12-27,No
121,2025-H1,4,Medium,2025-10-11,No
121,2025-H2,3,Medium,2025-09-23,No
122,2024-H1,3,Medium,2025-05-17,No
122,2024-H2,3,Low,2025-04-04,No
122,2025-H1,3,Medium,2025-02-28,No
122,2025-H2,4,Medium,2024-09-21,No
123,2024-H1,5,Medium,2025-06-29,No
123,2024-H2,3,Medium,2025-08-26,No
123,2025-H1,4,Medium,2024-09-01,No
123,2025-H2,1,Medium,2026-02-05,Yes
124,2024-H1,3,Medium,2024-10-28,No
124,2024-H2,3,Medium,2025-03-24,Yes
124,2025-H1,2,High,2025-09-20,No
124,2025-H2,4,High,2026-01-08,Yes
125,2024-H1,3,Medium,2025-09-18,No
125,2024-H2,4,Medium,2025-11-23,No
125,2025-H1,3,Low,2025-05-27,No
125,2025-H2,3,High,2024-12-24,No
126,2024-H1,4,Medium,2025-01-08,No
126,2024-H2,2,Medium,2025-10-11,No
126,2025-H1,3,Low,2026-04-09,No
126,2025-H2,3,Medium,2026-05-06,No
127,2024-H1,3,Medium,2024-06-10,No
127,2024-H2,4,High,2026-02-19,Yes
127,2025-H1,5,Medium,2025-03-07,No
127,2025-H2,3,High,2024-09-07,No
128,2024-H1,3,Medium,2024-11-14,No
128,2024-H2,5,Medium,2025-11-10,Yes
128,2025-H1,3,Medium,2024-06-14,No
128,2025-H2,2,Low,2024-06-19,No
129,2024-H1,5,Medium,2024-10-14,No
129,2024-H2,4,Medium,2025-07-04,No
129,2025-H1,5,Medium,2024-12-24,No
129,2025-H2,3,High,2024-12-31,No
130,2024-H1,3,Medium,2025-05-05,Yes
130,2024-H2,3,Medium,2025-11-13,No
130,2025-H1,3,Medium,2024-06-07,No
130,2025-H2,2,High,2025-01-26,No
131,2024-H1,5,Medium,2025-02-04,No
131,2024-H2,4,Medium,2025-03-20,No
131,2025-H1,3,Medium,2025-06-17,Yes
131,2025-H2,3,Low,2024-11-01,Yes
132,2024-H1,4,Medium,2025-11-27,No
132,2024-H2,4,Medium,2024-11-24,No
132,2025-H1,4,Medium,2025-11-16,No
132,2025-H2,2,High,2025-09-18,No
133,2024-H1,3,Low,2025-04-08,Yes
133,2024-H2,5,Low,2025-01-23,Yes
133,2025-H1,3,High,2024-09-09,No
133,2025-H2,3,Medium,2026-05-13,Yes
134,2024-H1,3,Medium,2025-05-01,No
134,2024-H2,3,Medium,2025-05-21,Yes
134,2025-H1,3,High,2024-08-02,No
134,2025-H2,3,Low,2024-12-03,No
135,2024-H1,4,Medium,2026-02-26,No
135,2024-H2,3,Medium,2024-10-04,No
135,2025-H1,5,Medium,2025-07-10,No
135,2025-H2,3,Low,2025-11-02,No
136,2024-H1,3,Medium,2024-11-28,Yes
136,2024-H2,5,Low,2026-01-18,No
136,2025-H1,3,High,2024-11-22,No
136,2025-H2,3,Medium,2025-03-19,No
137,2024-H1,5,Medium,2026-05-08,No
137,2024-H2,3,Medium,2025-12-05,No
137,2025-H1,4,Medium,2026-01-27,No
137,2025-H2,2,Medium,2025-10-02,No
138,2024-H1,4,Medium,2025-05-13,No
138,2024-H2,3,High,2025-07-18,No
138,2025-H1,4,Medium,2024-08-10,No
138,2025-H2,4,High,2024-08-11,No
139,2024-H1,5,Medium,2024-11-23,No
139,2024-H2,3,Medium,2025-12-15,No
139,2025-H1,3,Medium,2025-06-18,Yes
139,2025-H2,3,Medium,2025-07-01,No
140,2024-H1,3,High,2024-06-18,No
140,2024-H2,3,Medium,2026-02-01,No
140,2025-H1,4,Medium,2025-09-22,No
140,2025-H2,4,High,2025-03-02,No
141,2024-H1,3,High,2024-12-09,No
141,2024-H2,3,Medium,2025-11-25,Yes
141,2025-H1,4,Low,2026-03-05,No
141,2025-H2,2,High,2024-12-30,No
142,2024-H1,5,Medium,2024-07-18,No
142,2024-H2,2,Medium,2025-07-18,No
142,2025-H1,3,High,2024-09-30,No
142,2025-H2,2,Low,2024-08-04,No
143,2024-H1,4,Medium,2025-04-24,No
143,2024-H2,3,Medium,2024-12-15,No
143,2025-H1,2,Medium,2026-03-27,No
143,2025-H2,5,Medium,2025-09-25,No
144,2024-H1,3,Medium,2025-08-19,No
144,2024-H2,4,Medium,2026-05-06,Yes
144,2025-H1,3,Medium,2024-10-10,No
144,2025-H2,4,Low,2026-04-15,No
145,2024-H1,3,Medium,2025-12-26,No
145,2024-H2,2,Medium,2025-01-30,No
145,2025-H1,4,Low,2025-08-30,No
145,2025-H2,2,Low,2025-11-14,No
146,2024-H1,2,High,2025-04-25,No
146,2024-H2,4,High,2025-09-05,No
146,2025-H1,3,Medium,2024-10-16,No
146,2025-H2,4,Medium,2025-09-03,No
147,2024-H1,2,Medium,2024-08-08,No
147,2024-H2,4,Medium,2026-01-27,Yes
147,2025-H1,4,Medium,2026-04-01,No
147,2025-H2,4,High,2025-07-12,No
148,2024-H1,4,Medium,2025-08-27,No
148,2024-H2,4,Medium,2026-05-09,No
148,2025-H1,3,High,2024-06-05,No
148,2025-H2,4,Low,2025-07-14,No
149,2024-H1,4,Medium,2026-03-14,No
149,2024-H2,5,Low,2025-08-07,Yes
149,2025-H1,3,Low,2026-03-10,No
149,2025-H2,3,Medium,2025-09-08,No
150,2024-H1,3,Medium,2025-12-15,No
150,2024-H2,4,Low,2024-11-13,No
150,2025-H1,2,Medium,2026-02-21,No
150,2025-H2,4,Medium,2024-11-28,No
151,2024-H1,2,Low,2025-01-24,No
151,2024-H2,2,Low,2026-05-23,No
151,2025-H1,3,High,2026-03-23,No
151,2025-H2,4,Medium,2024-12-18,No
152,2024-H1,4,High,2025-06-23,No
152,2024-H2,3,Medium,2025-07-13,No
152,2025-H1,5,High,2024-06-12,No
152,2025-H2,5,Medium,2024-08-09,No
153,2024-H1,4,Medium,2026-01-03,No
153,2024-H2,3,Medium,2025-09-05,Yes
153,2025-H1,5,Medium,2025-01-18,No
153,2025-H2,3,High,2025-12-13,No
