employee_id,hashed_employee_id,department,job_level,job_family,location,hire_date,termination_date,employment_status,manager_id,salary_band,performance_rating,engagement_score,promotion_count,last_promotion_date
15,e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb,Sales,L2,Customer Success,Remote Canada,2022-05-22,,Active,374,Band A,3,7.2,0,2023-12-29
16,b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9,Finance,L2,Data,Remote Canada,2023-12-19,,Active,113,Band B,3,7.2,0,
17,4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3,Sales,L4,Finance,New York,2021-05-30,2024-04-20,Terminated,730,Band D,2,5.3,1,
18,4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a,People,L3,Data,Toronto,2022-11-02,2024-12-26,Terminated,124,Band C,3,6.3,0,2025-02-13
19,9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767,Sales,L4,Customer Success,Remote Canada,2023-05-11,,Active,148,Band D,5,7.8,1,2025-11-07
20,f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b,Product,L5,Recruiting,Ottawa,2026-01-27,,Active,611,Band D,3,3.7,3,2026-03-07
21,6f4b6612125fb3a0daecd2799dfd6c9c299424fd920f9b308110a2c1fbd8f443,Engineering,L1,Operations,London,2025-08-20,,Active,37,Band C,3,8.6,1,2025-12-08
22,785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09,Engineering,L3,Product,Toronto,2021-02-27,,Active,420,Band D,3,5.7,0,2022-03-27
23,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,Product,L1,Software,Ottawa,2021-05-13,2024-10-18,Terminated,822,Band C,4,8.2,0,
24,c2356069e9d1e79ca924378153cfbbfb4d4416b1f99d41a2940bfdb66c5319db,Support,L4,Product,Toronto,2025-12-08,,Active,640,Band A,3,5.9,0,2026-02-21
25,b7a56873cd771f2c446d369b649430b65a756ba278ff97ec81bb6f55b2e73569,People,L6,Finance,Remote Canada,2023-08-25,,Active,438,Band C,3,9.0,1,2024-05-23
26,5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca,Support,L2,Product,Toronto,2025-11-11,,Active,512,Band A,5,5.3,0,
27,670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf,Marketing,L1,Finance,Toronto,2021-05-18,2024-03-27,Terminated,302,Band E,3,5.9,0,
28,59e19706d51d39f66711c2653cd7eb1291c94d9b55eb14bda74ce4dc636d015a,Product,L5,Software,Remote Canada,2023-10-10,,Active,872,Band B,3,6.4,3,
29,35135aaa6cc23891b40cb3f378c53a17a1127210ce60e125ccf03efcfdaec458,Product,L2,Data,Toronto,2023-06-20,,Active,811,Band E,3,5.0,1,
30,624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4,Marketing,L4,Data,Dublin,2020-10-09,,Active,400,Band D,4,6.5,0,2024-04-10
31,eb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f94962ceaec1ed8af21f5a50f,Operations,L1,Data,Ottawa,2025-06-03,,Active,575,Band E,4,6.6,0,
32,e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b,Finance,L3,Finance,New York,2021-03-09,,Active,620,Band E,3,8.0,1,
33,c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894,Sales,L3,Operations,London,2024-03-05,,Active,370,Band D,4,7.0,0,2024-10-26
34,86e50149658661312a9e0b35558d84f6c6d3da797f552a9657fe0558ca40cdef,Product,L6,Customer Success,Toronto,2020-07-30,,Active,641,Band B,5,6.5,0,
35,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953,Engineering,L3,Finance,Toronto,2021-07-04,,Active,272,Band E,4,10.0,0,
36,76a50887d8f1c2e9301755428990ad81479ee21c25b43215cf524541e0503269,Finance,L1,Finance,Dublin,2022-01-30,,Active,220,Band E,2,8.6,0,2023-07-25
37,7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25,Support,L1,Finance,New York,2025-07-16,,Active,289,Band E,3,9.4,0,
38,aea92132c4cbeb263e6ac2bf6c183b5d81737f179f21efdc5863739672f0f470,Product,L3,Finance,London,2024-06-28,,Active,516,Band B,1,9.1,1,2024-10-13
39,0b918943df0962bc7a1824c0555a389347b4febdc7cf9d1254406d80ce44e3f9,Product,L3,Data,Toronto,2020-09-02,,Active,691,Band C,5,7.8,2,
40,d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103,Operations,L2,Finance,Remote Canada,2022-10-30,,Active,754,Band C,3,7.0,1,
41,3d914f9348c9cc0ff8a79716700b9fcd4d2f3e711608004eb8f138bcba7f14d9,People,L4,Data,New York,2021-01-07,,Active,826,Band E,3,7.8,0,
42,73475cb40a568e8da8a045ced110137e159f890ac4da883b6b17dc651b3a8049,Sales,L6,Operations,Ottawa,2025-08-12,,Active,96,Band E,3,7.1,1,2025-09-12
43,44cb730c420480a0477b505ae68af508fb90f96cf0ec54c6ad16949dd427f13a,People,L5,Recruiting,New York,2024-01-20,,Active,880,Band A,3,6.9,0,2024-06-21
44,71ee45a3c0db9a9865f7313dd3372cf60dca6479d46261f3542eb9346e4a04d6,Operations,L6,Customer Success,New York,2022-06-14,,Active,851,Band B,3,8.4,0,
45,811786ad1ae74adfdd20dd0372abaaebc6246e343aebd01da0bfc4c02bf0106c,Sales,L1,Finance,Toronto,2024-02-02,,Active,39,Band E,5,9.7,2,2025-06-07
46,25fc0e7096fc653718202dc30b0c580b8ab87eac11a700cba03a7c021bc35b0c,Engineering,L1,Customer Success,Dublin,2024-03-10,2024-04-06,Terminated,653,Band B,3,7.8,2,
47,31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,People,L6,Finance,Toronto,2023-03-24,,Active,342,Band D,3,7.5,0,2025-06-10
48,98010bd9270f9b100b6214a21754fd33bdc8d41b2bc9f9dd16ff54d3c34ffd71,Marketing,L3,Product,Ottawa,2020-08-31,,Active,858,Band C,2,8.4,0,
49,0e17daca5f3e175f448bacace3bc0da47d0655a74c8dd0dc497a3afbdad95f1f,Product,L4,Finance,Toronto,2023-03-23,,Active,1,Band C,3,7.0,0,2023-05-25
50,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb,People,L4,Finance,London,2023-08-15,,Active,829,Band E,1,7.8,2,2025-08-12
51,031b4af5197ec30a926f48cf40e11a7dbc470048a21e4003b7a3c07c5dab1baa,Sales,L6,Software,Toronto,2022-05-08,,Active,305,Band A,3,8.4,0,
52,41cfc0d1f2d127b04555b7246d84019b4d27710a3f3aff6e7764375b1e06e05d,Support,L2,Operations,London,2020-06-18,2022-06-08,Terminated,8,Band B,3,7.5,0,
53,2858dcd1057d3eae7f7d5f782167e24b61153c01551450a628cee722509f6529,Marketing,L2,Operations,Remote Canada,2021-06-26,,Active,502,Band A,3,9.6,0,
54,2fca346db656187102ce806ac732e06a62df0dbb2829e511a770556d398e1a6e,People,L6,Finance,Toronto,2021-08-28,,Active,450,Band B,5,5.1,2,
55,02d20bbd7e394ad5999a4cebabac9619732c343a4cac99470c03e23ba2bdc2bc,Engineering,L4,Software,Toronto,2024-03-03,,Active,779,Band E,4,8.8,1,
56,7688b6ef52555962d008fff894223582c484517cea7da49ee67800adc7fc8866,Operations,L2,Customer Success,Dublin,2023-11-21,,Active,476,Band A,3,6.7,1,2024-01-02
57,c837649cce43f2729138e72cc315207057ac82599a59be72765a477f22d14a54,Finance,L6,Software,Remote Canada,2021-09-05,,Active,145,Band E,3,5.3,1,2024-01-20
58,6208ef0f7750c111548cf90b6ea1d0d0a66f6bff40dbef07cb45ec436263c7d6,Support,L1,Software,Ottawa,2020-11-12,,Active,438,Band C,3,7.9,2,2026-01-12
59,3e1e967e9b793e908f8eae83c74dba9bcccce6a5535b4b462bd9994537bfe15c,People,L4,Data,London,2021-11-06,,Active,853,Band B,4,7.5,3,2024-02-22
60,39fa9ec190eee7b6f4dff1100d6343e10918d044c75eac8f9e9a2596173f80c9,Operations,L2,Customer Success,Ottawa,2026-05-30,,Active,308,Band A,3,8.3,1,
61,d029fa3a95e174a19934857f535eb9427d967218a36ea014b70ad704bc6c8d1c,Sales,L4,Finance,New York,2021-12-19,,Active,138,Band A,3,6.8,3,
62,81b8a03f97e8787c53fe1a86bda042b6f0de9b0ec9c09357e107c99ba4d6948a,Sales,L3,Product,Remote Canada,2020-10-29,,Active,111,Band A,3,4.9,1,
63,da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,Marketing,L1,Data,Remote Canada,2025-10-06,,Active,864,Band C,3,7.3,0,2025-11-07
64,a68b412c4282555f15546cf6e1fc42893b7e07f271557ceb021821098dd66c1b,Product,L1,Finance,Dublin,2020-06-30,,Active,513,Band E,3,7.7,0,
65,108c995b953c8a35561103e2014cf828eb654a99e310f87fab94c2f4b7d2a04f,Finance,L2,Software,Toronto,2026-02-08,,Active,47,Band A,4,5.5,0,
66,3ada92f28b4ceda38562ebf047c6ff05400d4c572352a1142eedfef67d21e662,Support,L4,Finance,New York,2021-05-01,2022-09-03,Terminated,719,Band B,4,7.3,0,2022-03-02
67,49d180ecf56132819571bf39d9b7b342522a2ac6d23c1418d3338251bfe469c8,Sales,L2,Customer Success,Remote Canada,2021-11-30,,Active,623,Band C,3,7.0,0,
68,a21855da08cb102d1d217c53dc5824a3a795c1c1a44e971bf01ab9da3a2acbbf,Finance,L1,Customer Success,Toronto,2022-08-18,,Active,273,Band B,3,5.9,0,
69,c75cb66ae28d8ebc6eded002c28a8ba0d06d3a78c6b5cbf9b2ade051f0775ac4,Product,L4,Finance,Ottawa,2023-11-06,,Active,111,Band D,3,9.3,0,
70,ff5a1ae012afa5d4c889c50ad427aaf545d31a4fac04ffc1c4d03d403ba4250a,People,L5,Software,Remote Canada,2025-01-24,,Active,315,Band E,3,8.0,2,
71,7f2253d7e228b22a08bda1f09c516f6fead81df6536eb02fa991a34bb38d9be8,People,L2,Operations,Dublin,2022-11-16,,Active,843,Band A,2,3.7,3,
72,8722616204217eddb39e7df969e0698aed8e599ba62ed2de1ce49b03ade0fede,Marketing,L5,Customer Success,Dublin,2022-03-22,,Active,118,Band A,3,8.2,1,2023-03-04
73,96061e92f58e4bdcdee73df36183fe3ac64747c81c26f6c83aada8d2aabb1864,Sales,L3,Product,London,2025-12-10,,Active,300,Band E,3,6.1,0,
74,eb624dbe56eb6620ae62080c10a273cab73ae8eca98ab17b731446a31c79393a,Product,L4,Recruiting,London,2024-02-22,,Active,894,Band C,5,4.7,0,2025-09-17
75,f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac,Support,L1,Customer Success,Ottawa,2022-09-21,,Active,172,Band B,3,6.4,1,2023-08-22
76,f74efabef12ea619e30b79bddef89cffa9dda494761681ca862cff2871a85980,Support,L3,Product,Dublin,2022-08-19,,Active,95,Band A,4,8.3,1,
77,a88a7902cb4ef697ba0b6759c50e8c10297ff58f942243de19b984841bfe1f73,Sales,L5,Operations,Remote Canada,2023-12-22,2024-08-26,Terminated,547,Band A,4,8.8,0,2024-04-02
78,349c41201b62db851192665c504b350ff98c6b45fb62a8a2161f78b6534d8de9,People,L4,Finance,London,2023-02-08,,Active,851,Band C,3,7.6,2,
79,98a3ab7c340e8a033e7b37b6ef9428751581760af67bbab2b9e05d4964a8874a,Product,L4,Customer Success,Dublin,2024-05-02,,Active,800,Band C,3,3.9,1,
80,48449a14a4ff7d79bb7a1b6f3d488eba397c36ef25634c111b49baf362511afc,Product,L3,Product,Remote Canada,2025-11-01,,Active,198,Band C,3,9.3,0,
81,5316ca1c5ddca8e6ceccfce58f3b8540e540ee22f6180fb89492904051b3d531,Finance,L3,Recruiting,Remote Canada,2021-11-12,,Active,420,Band E,2,5.7,1,
82,a46e37632fa6ca51a13fe39a567b3c23b28c2f47d8af6be9bd63e030e214ba38,Product,L3,Software,Toronto,2023-07-04,,Active,118,Band E,2,6.1,1,
83,bbb965ab0c80d6538cf2184babad2a564a010376712012bd07b0af92dcd3097d,Finance,L3,Finance,New York,2021-03-03,,Active,844,Band E,4,9.1,0,
84,44c8031cb036a7350d8b9b8603af662a4b9cdbd2f96e8d5de5af435c9c35da69,Sales,L6,Recruiting,Dublin,2022-10-01,,Active,712,Band B,5,8.6,0,2026-02-18
85,b4944c6ff08dc6f43da2e9c824669b7d927dd1fa976fadc7b456881f51bf5ccc,Engineering,L2,Operations,Remote Canada,2025-02-12,,Active,460,Band D,3,7.9,1,
86,434c9b5ae514646bbd91b50032ca579efec8f22bf0b4aac12e65997c418e0dd6,Product,L1,Product,London,2023-07-27,,Active,462,Band A,5,7.5,0,
87,bdd2d3af3a5a1213497d4f1f7bfcda898274fe9cb5401bbc0190885664708fc2,People,L1,Customer Success,Toronto,2020-07-04,2023-01-12,Terminated,1,Band C,3,6.4,0,2021-10-02
88,8b940be7fb78aaa6b6567dd7a3987996947460df1c668e698eb92ca77e425349,Engineering,L1,Operations,Toronto,2023-12-18,,Active,602,Band C,5,7.0,0,
89,cd70bea023f752a0564abb6ed08d42c1440f2e33e29914e55e0be1595e24f45a,Support,L2,Operations,Remote Canada,2025-07-27,2026-04-10,Terminated,179,Band A,3,8.3,0,2026-03-19
90,69f59c273b6e669ac32a6dd5e1b2cb63333d8b004f9696447aee2d422ce63763,Marketing,L1,Data,Toronto,2024-02-16,,Active,84,Band A,2,7.0,0,
91,1da51b8d8ff98f6a48f80ae79fe3ca6c26e1abb7b7d125259255d6d2b875ea08,Engineering,L2,Finance,Dublin,2020-07-24,2025-06-26,Terminated,215,Band C,3,7.0,0,
92,8241649609f88ccd2a0a5b233a07a538ec313ff6adf695aa44a969dbca39f67d,Support,L3,Data,Dublin,2025-02-20,,Active,371,Band B,3,7.4,0,
93,6e4001871c0cf27c7634ef1dc478408f642410fd3a444e2a88e301f5c4a35a4d,Operations,L1,Finance,Remote Canada,2025-11-17,,Active,800,Band B,3,5.6,0,
94,e3d6c4d4599e00882384ca981ee287ed961fa5f3828e2adb5e9ea890ab0d0525,Finance,L2,Data,Remote Canada,2026-04-10,,Active,443,Band E,3,9.7,0,2026-05-29
95,ad48ff99415b2f007dc35b7eb553fd1eb35ebfa2f2f308acd9488eeb86f71fa8,Marketing,L2,Software,Remote Canada,2020-08-06,2025-10-26,Terminated,96,Band C,5,4.8,0,2022-07-27
96,7b1a278f5abe8e9da907fc9c29dfd432d60dc76e17b0fabab659d2a508bc65c4,Finance,L1,Finance,Remote Canada,2022-02-18,,Active,548,Band E,3,5.9,2,2023-05-09
97,d6d824abba4afde81129c71dea75b8100e96338da5f416d2f69088f1960cb091,Product,L4,Product,New York,2020-08-17,,Active,532,Band E,3,6.3,2,
98,29db0c6782dbd5000559ef4d9e953e300e2b479eed26d887ef3f92b921c06a67,Marketing,L1,Software,Dublin,2022-08-16,2025-11-02,Terminated,632,Band C,4,9.0,1,
99,8c1f1046219ddd216a023f792356ddf127fce372a72ec9b4cdac989ee5b0b455,People,L4,Software,London,2025-04-02,,Active,281,Band A,2,5.4,0,
100,ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,Finance,L4,Data,Dublin,2020-07-04,2020-10-05,Terminated,34,Band A,3,7.3,0,2023-11-13
101,16dc368a89b428b2485484313ba67a3912ca03f2b2b42429174a4f8b3dc84e44,People,L1,Data,Dublin,2023-04-16,,Active,731,Band B,3,5.8,2,
102,37834f2f25762f23e1f74a531cbe445db73d6765ebe60878a7dfbecd7d4af6e1,Product,L2,Software,New York,2025-10-03,,Active,822,Band C,3,7.9,0,2025-11-04
103,454f63ac30c8322997ef025edff6abd23e0dbe7b8a3d5126a894e4a168c1b59b,Sales,L2,Operations,Toronto,2023-12-01,,Active,187,Band C,5,7.9,0,
104,5ef6fdf32513aa7cd11f72beccf132b9224d33f271471fff402742887a171edf,Operations,L2,Product,New York,2024-12-16,,Active,491,Band A,3,7.0,1,
105,1253e9373e781b7500266caa55150e08e210bc8cd8cc70d89985e3600155e860,Finance,L2,Data,Toronto,2021-09-16,,Active,217,Band E,4,5.0,1,2022-05-08
106,482d9673cfee5de391f97fde4d1c84f9f8d6f2cf0784fcffb958b4032de7236c,People,L1,Operations,Remote Canada,2022-03-13,,Active,613,Band D,4,6.6,2,2023-11-16
107,3346f2bbf6c34bd2dbe28bd1bb657d0e9c37392a1d5ec9929e6a5df4763ddc2d,Engineering,L1,Recruiting,Remote Canada,2021-05-03,,Active,776,Band E,4,8.4,3,2022-04-14
108,9537f32ec7599e1ae953af6c9f929fe747ff9dadf79a9beff1f304c550173011,Sales,L6,Finance,Ottawa,2024-07-24,,Active,47,Band B,3,9.1,3,2024-08-25
109,0fd42b3f73c448b34940b339f87d07adf116b05c0227aad72e8f0ee90533e699,Operations,L1,Finance,Toronto,2024-12-21,,Active,883,Band B,3,8.1,0,
110,9bdb2af6799204a299c603994b8e400e4b1fd625efdb74066cc869fee42c9df3,Operations,L1,Customer Success,Remote Canada,2026-05-27,,Active,620,Band D,3,8.3,2,2026-05-31
111,f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae,Operations,L1,Customer Success,Toronto,2023-11-07,,Active,516,Band E,4,7.4,0,2024-04-06
112,b1556dea32e9d0cdbfed038fd7787275775ea40939c146a64e205bcb349ad02f,Sales,L5,Recruiting,Remote Canada,2022-12-31,,Active,759,Band E,3,9.6,2,2026-05-21
113,6c658ee83fb7e812482494f3e416a876f63f418a0b8a1f5e76d47ee4177035cb,Marketing,L1,Data,London,2024-08-10,2026-02-11,Terminated,318,Band E,3,5.0,0,
114,9f1f9dce319c4700ef28ec8c53bd3cc8e6abe64c68385479ab89215806a5bdd6,Marketing,L4,Recruiting,Toronto,2026-02-15,,Active,3,Band E,3,8.0,0,
115,28dae7c8bde2f3ca608f86d0e16a214dee74c74bee011cdfdd46bc04b655bc14,Engineering,L2,Finance,Dublin,2020-12-19,,Active,585,Band A,3,6.3,1,2023-09-20
116,e5b861a6d8a966dfca7e7341cd3eb6be9901688d547a72ebed0b1f5e14f3d08d,Support,L3,Finance,Ottawa,2024-07-23,2025-03-29,Terminated,153,Band D,2,8.3,0,2024-11-22
117,2ac878b0e2180616993b4b6aa71e61166fdc86c28d47e359d0ee537eb11d46d3,Sales,L3,Software,Remote Canada,2022-05-26,,Active,226,Band A,3,8.0,0,
118,85daaf6f7055cd5736287faed9603d712920092c4f8fd0097ec3b650bf27530e,Engineering,L3,Operations,Ottawa,2022-04-11,2022-12-08,Terminated,753,Band E,3,6.3,0,
119,3038bfb575bee6a0e61945eff8784835bb2c720634e42734678c083994b7f018,Sales,L4,Recruiting,London,2022-03-13,2022-10-30,Terminated,120,Band E,3,9.4,0,2025-11-08
120,2abaca4911e68fa9bfbf3482ee797fd5b9045b841fdff7253557c5fe15de6477,Marketing,L3,Product,Toronto,2022-11-07,,Active,738,Band D,1,9.7,0,2025-09-13
121,89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,Product,L2,Customer Success,Dublin,2021-05-31,,Active,328,Band C,4,6.0,0,2023-05-24
122,1be00341082e25c4e251ca6713e767f7131a2823b0052caf9c9b006ec512f6cb,Engineering,L1,Finance,Dublin,2022-03-27,,Active,349,Band C,4,7.2,0,2024-06-02
123,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Finance,L4,Product,New York,2021-09-27,,Active,353,Band C,4,8.3,1,2021-11-19
124,6affdae3b3c1aa6aa7689e9b6a7b3225a636aa1ac0025f490cca1285ceaf1487,People,L1,Finance,Remote Canada,2022-09-02,,Active,557,Band B,3,7.9,2,
125,0f8ef3377b30fc47f96b48247f463a726a802f62f3faa03d56403751d2f66c67,Finance,L4,Customer Success,Ottawa,2022-07-20,,Active,356,Band B,4,6.9,0,2023-03-15
126,65a699905c02619370bcf9207f5a477c3d67130ca71ec6f750e07fe8d510b084,Engineering,L1,Software,New York,2024-01-04,2025-01-04,Terminated,448,Band E,4,7.2,0,2024-10-21
127,922c7954216ccfe7a61def609305ce1dc7c67e225f873f256d30d7a8ee4f404c,Support,L5,Operations,New York,2020-06-13,,Active,335,Band E,2,7.4,0,
128,2747b7c718564ba5f066f0523b03e17f6a496b06851333d2d59ab6d863225848,People,L4,Recruiting,Toronto,2023-09-17,,Active,22,Band B,2,7.8,2,2025-04-14
129,6566230e3a3ce3774c1bbc7c18b590ae0f457bbcd511e90e3e7dca2a02e7addc,Marketing,L4,Product,New York,2020-12-30,,Active,381,Band D,1,9.4,1,
130,38d66d9692ac590000a91b03a88da1c88d51fab2b78f63171f553ecc551a0c6f,Finance,L6,Product,London,2021-01-06,,Active,489,Band E,4,7.1,0,
131,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,People,L1,Product,Toronto,2022-07-09,,Active,382,Band D,1,7.8,2,2025-06-22
132,dbb1ded63bc70732626c5dfe6c7f50ced3d560e970f30b15335ac290358748f6,Finance,L6,Data,Ottawa,2021-10-02,,Active,892,Band B,3,7.5,0,2022-12-27
133,d2f483672c0239f6d7dd3c9ecee6deacbcd59185855625902a8b1c1a3bd67440,Operations,L3,Product,New York,2023-12-31,,Active,430,Band A,4,8.2,1,2024-05-03
134,5d389f5e2e34c6b0bad96581c22cee0be36dcf627cd73af4d4cccacd9ef40cc3,Support,L2,Operations,Ottawa,2022-05-13,,Active,899,Band D,4,8.2,0,
135,13671077b66a29874a2578b5240319092ef2a1043228e433e9b006b5e53e7513,Marketing,L2,Data,Dublin,2021-08-16,,Active,831,Band E,3,6.3,0,
136,36ebe205bcdfc499a25e6923f4450fa8d48196ceb4fa0ce077d9d8ec4a36926d,Support,L2,Customer Success,Dublin,2025-11-16,,Active,544,Band C,4,8.6,2,2026-05-26
137,d80eae6e96d148b3b2abbbc6760077b66c4ea071f847dab573d507a32c4d99a5,People,L4,Data,Toronto,2024-11-09,,Active,588,Band A,3,7.2,0,
138,d6a4031733610bb080d0bfa794fcc9dbdcff74834aeaab7c6b927e21e9754037,Product,L2,Software,Toronto,2021-10-28,,Active,801,Band A,3,6.7,0,
139,8d27ba37c5d810106b55f3fd6cdb35842007e88754184bfc0e6035f9bcede633,Product,L6,Software,Dublin,2026-05-01,,Active,122,Band B,4,7.3,2,
140,dbae772db29058a88f9bd830e957c695347c41b6162a7eb9a9ea13def34be56b,Engineering,L5,Customer Success,Toronto,2020-11-28,2025-08-09,Terminated,370,Band D,4,6.8,1,2021-10-21
141,2c7d5490e6050836f8f2f0d496b1c8d6a38d4ffac2b898e6e77751bdcd20ebf5,Sales,L3,Product,New York,2025-04-07,,Active,208,Band D,3,7.1,0,
142,d4ee9f58e5860574ca98e3b4839391e7a356328d4bd6afecefc2381df5f5b41b,Product,L1,Customer Success,New York,2022-08-01,,Active,537,Band E,3,9.3,0,
143,d6f0c71ef0c88e45e4b3a2118fcb83b0def392d759c901e9d755d0e879028727,Finance,L4,Customer Success,Remote Canada,2025-12-05,,Active,812,Band B,1,5.4,0,
144,5ec1a0c99d428601ce42b407ae9c675e0836a8ba591c8ca6e2a2cf5563d97ff0,Sales,L4,Finance,Dublin,2024-11-11,,Active,207,Band A,4,8.9,0,2025-10-31
145,be47addbcb8f60566a3d7fd5a36f8195798e2848b368195d9a5d20e007c59a0c,Support,L2,Operations,New York,2025-09-07,,Active,364,Band D,3,8.5,1,
146,0a5b046d07f6f971b7776de682f57c5b9cdc8fa060db7ef59de82e721c8098f4,Marketing,L5,Software,New York,2023-02-15,,Active,774,Band B,5,10.0,0,
147,1d28c120568c10e19b9d8abe8b66d0983fa3d2e11ee7751aca50f83c6f4a43aa,Product,L3,Customer Success,Toronto,2025-09-22,,Active,867,Band B,4,7.7,0,
148,ec2e990b934dde55cb87300629cedfc21b15cd28bbcf77d8bbdc55359d7689da,Operations,L3,Customer Success,Toronto,2023-10-23,2024-11-11,Terminated,84,Band B,2,6.8,1,
149,05ada863a4cf9660fd8c68e2295f1d35b2264815f5b605003d6625bd9e0492cf,Sales,L3,Customer Success,Toronto,2023-02-22,,Active,424,Band D,2,7.1,0,
150,9ae2bdd7beedc2e766c6b76585530e16925115707dc7a06ab5ee4aa2776b2c7b,Product,L2,Operations,Dublin,2023-02-25,,Active,361,Band A,3,7.9,1,2024-06-08
151,8e612bd1f5d132a339575b8dafb7842c64614e56bcf3d5ab65a0bc4b34329407,People,L1,Data,Remote Canada,2022-02-20,,Active,687,Band E,3,8.2,0,2025-01-08
152,043066daf2109523a7490d4bfad4766da5719950a2b5f96d192fc0537e84f32a,Sales,L1,Software,Dublin,2025-08-30,,Active,642,Band A,3,8.6,2,
153,620c9c332101a5bae955c66ae72268fbcd3972766179522c8deede6a249addb7,People,L1,Product,London,2023-01-17,,Active,161,Band A,3,6.0,0,2025-01-09
